title,url,published_sgt
"New government unit dealing with severe noise, hoarding cases begins 1-year pilot in Tampines",https://www.straitstimes.com/singapore/housing/community-relations-unit-dealing-with-severe-noise-hoarding-cases-begins-1-year-pilot-in-tampines,2025-04-08T13:05:00+08:00
Tiong Bahru blocks to be painted brown after criticisms over purple makeover,https://www.straitstimes.com/singapore/housing/tiong-bahru-blocks-to-be-painted-brown-after-criticisms-over-purple-makeover,2025-05-30T15:00:00+08:00
"New National Development Minister to prioritise HDB flat affordability, supply",https://www.straitstimes.com/singapore/housing/public-housing-affordability-supply-priorities-for-new-national-development-minister-chee-hong-tat,2025-05-28T13:40:31+08:00
Judge Oks bulk of $32.1 million claim against defunct Park Hotel Clarke Quay operator,https://www.straitstimes.com/singapore/housing/judge-okays-bulk-of-32-1m-claim-by-ascendas-against-defunct-park-hotel-clarke-quay-operator,2025-05-27T20:00:00+08:00
Thomson View’s $810 million sale put on hold after lawyers submitted ‘incomplete’ documents,https://www.straitstimes.com/singapore/housing/thomson-views-810-million-sale-put-on-hold-after-lawyers-submitted-incomplete-documents,2025-05-22T19:50:00+08:00
Singapore construction sector sees fallout from US tariffs amid trade war truce,https://www.straitstimes.com/singapore/housing/trade-war-truce-offers-some-respite-but-singapore-construction-sector-eyes-higher-costs,2025-05-19T17:35:00+08:00
Tiong Bahru residents to vote on colour scheme after complaints over purple makeover,https://www.straitstimes.com/singapore/housing/tiong-bahru-residents-to-vote-on-colour-scheme-after-complaints-over-purple-makeover,2025-05-17T23:42:10+08:00
New private home sales fall in April as trade tensions hit Singapore’s economic outlook,https://www.straitstimes.com/singapore/housing/new-private-home-sales-fall-in-april-as-trade-tensions-hit-singapores-economic-outlook,2025-05-15T18:10:00+08:00
"Land plots near Marymount, Caldecott and other MRT stations being readied for new homes",https://www.straitstimes.com/singapore/housing/land-plots-near-marymount-caldecott-and-other-mrt-stations-being-readied-for-new-homes,2025-05-15T17:00:00+08:00
"1,000 BTO flats on former Keppel Club site to be launched in October",https://www.straitstimes.com/singapore/housing/1000-bto-flats-on-former-keppel-club-site-to-be-launched-in-october,2025-05-15T15:55:00+08:00
URA puts up second Chuan Grove site for sale; firm bids expected amid steady demand in the area,https://www.straitstimes.com/singapore/housing/ura-puts-up-second-chuan-grove-site-for-sale-firm-bids-expected-amid-steady-demand-in-the-area,2025-05-13T23:39:07+08:00
Some Tiong Bahru residents upset about HDB blocks being repainted a ‘gaudy’ purple without vote,https://www.straitstimes.com/singapore/housing/some-tiong-bahru-residents-upset-that-hdb-blocks-were-to-be-repainted-gaudy-purple-without-vote,2025-05-13T21:45:00+08:00
"5 former schools in Bedok, Tampines and Pasir Ris set to be replaced by new homes",https://www.straitstimes.com/singapore/housing/5-former-schools-in-bedok-tampines-and-pasir-ris-set-to-be-replaced-by-new-homes,2025-05-10T05:00:00+08:00
Depot Lane industrial estate and warehouses to be vacated by Q4 to make way for housing,https://www.straitstimes.com/singapore/housing/depot-lane-industrial-estate-warehouses-to-be-vacated-by-q4-2025-to-make-way-for-housing,2025-06-30T05:00:00+08:00
Maiden plot in Bukit Timah Turf City snags 9 bids as developers jostle for first-mover advantage,https://www.straitstimes.com/singapore/housing/maiden-plot-in-bukit-timah-turf-city-snags-9-bids-as-developers-jostle-for-first-mover-advantage,2025-06-26T21:55:00+08:00
"Work on hawker centre, polyclinic in Bishan town centre to start in this term of govt: Chee Hong Tat",https://www.straitstimes.com/singapore/housing/work-on-hawker-centre-polyclinic-in-bishan-town-centre-to-start-in-this-term-of-govt-chee-hong-tat,2025-06-26T10:09:37+08:00
S’pore’s new blueprint will give residents more flexibility to choose ideal home: Analysts,https://www.straitstimes.com/singapore/housing/spores-new-blueprint-will-give-residents-more-flexibility-to-choose-ideal-home-analysts,2025-06-26T05:00:00+08:00
"New housing areas, parks, community hubs: 8 highlights from Singapore’s latest draft masterplan",https://www.straitstimes.com/singapore/housing/new-housing-areas-parks-community-hubs-8-highlights-from-spores-latest-draft-master-plan,2025-06-25T10:31:00+08:00
